name	date
bellucci-quito-2017-wednesday	2017-02-09 00:42:00
brown-montpellier-2017-wednesday	2017-02-08 22:20:00
goffin-sofia-2017-wednesday	2017-02-08 21:08:00
ram-quito-2017-tuesday	2017-02-07 23:34:00
muller-sofia-2017-tuesday	2017-02-07 21:18:00
chardy-montpellier-2017-monday-2	2017-02-07 00:10:00
tipsarevic-quito-2017-monday	2017-02-06 23:49:00
albot-sofia-2017-monday	2017-02-06 20:44:00
dimitrov-sofia-2017-preview	2017-02-06 18:28:00
rankings_1920x1080_170206-2	2017-02-06 10:27:00
scouting-report-2017-feb06-dimitrov	2017-02-06 00:53:00
davis-cup-2017-first-round-darcis	2017-02-05 16:02:00
davis-cup-2017-first-round-bautista-agut	2017-02-05 20:18:00
davis-cup-2017-first-round-troicki-zimonjic	2017-02-04 20:25:00
davis-cup-2017-first-round-herbert-mahut	2017-02-04 14:19:00
djokovic-davis-cup-first-round-2017	2017-02-03 22:43:00
thompson-australia-davis-cup-1r-2017-friday	2017-02-03 10:40:00
argentina-italy-davis-cup-2017	2017-02-02 19:34:00
nadal-federer-australian-open-2017-final-handshake	2017-01-30 17:17:00
rankings_1920x1080_170130-2	2017-01-30 12:25:00
federer-nadal-australian-open-2017-final-trophy-rival	2017-01-29 14:52:00
fed-18gs-congrats-1920x1080	2017-01-29 13:44:00
cabal-spears-australian-open-2017-mixed-doubles-trophy	2017-01-29 13:48:00
aussie-open-2017-final-federer4	2017-01-29 12:26:00
ao_final_1920x1080_fri	2017-01-28 17:26:00
australian-open-2017-doubles-final-kontinen-peers	2017-01-28 12:59:00
kontinen-peers-bryan-bryan-ao-2017-final	2017-01-27 21:34:00
nadal3-australian-open-2017-friday2	2017-01-27 13:48:00
nadal-dimitrov-australian-open-2017-preview	2017-01-26 20:07:00
federer-australian-open-2017-thursday24	2017-01-26 12:29:00
bryans-australian-open-2017-thursday	2017-01-26 08:26:00
ao2017_semi_1920x1080_thurs	2017-01-25 19:15:00
polmans-whittington-australian-open-2017-wednesday2	2017-01-25 14:30:00
nadal-australian-open-2017-wednesday23	2017-01-25 12:36:00
dimitrov-australian-open-2017-wednesday2	2017-01-25 06:26:00
ao2017_quarterfinals_1920x1080_weds	2017-01-24 20:21:00
bryans-australian-open-tuesday2	2017-01-24 11:04:00
federer-australian-open-tuesday3	2017-01-24 11:34:00
wawrinka-wimbledon-2017-tuesday	2017-01-24 06:55:00
ao17_quarterfinals_1920x1080_tuesday	2017-01-23 21:18:00
nadal-australian-open-monday2	2017-01-23 11:47:00
zverev-australian-open-monday2	2017-01-23 12:09:00
raonic-australian-open-monday2	2017-01-23 10:50:00
dimitrov-australian-open-monday2	2017-01-23 09:56:00
kontinen-peers-australian-open-2017-monday	2017-01-23 06:15:00
goffin-australian-open-2017-monday	2017-01-23 05:09:00
federer-australian-open-2017-sunday-1	2017-01-22 11:23:00
tsonga-australian-open-2017-sunday	2017-01-22 09:02:00
zverev-australian-open-2017-sunday	2017-01-22 07:01:00
wawrinka-australian-open-2017-sunday	2017-01-22 06:59:00
herbert-mahut-australian-open-2017-sunday	2017-01-22 05:53:00
australian-open-2017-saturday-dimitrov	2017-01-21 15:17:00
aussie-open-2017-saturday-groth-guccione	2017-01-21 12:30:00
nadal-australian-open-2017-saturday	2017-01-21 09:02:00
raonic-australian-open-2017-saturday	2017-01-21 11:26:00
inglot-mergea-australian-open-2017-friday	2017-01-20 13:18:00
federer-australian-open-2017-friday2	2017-01-20 11:58:00
wawrinka-australian-open-2017-friday	2017-01-20 07:08:00
murray-australian-open-2017-friday	2017-01-20 07:06:00
tsonga-australian-open-friday2	2017-01-20 10:06:00
herbert-mahut-australian-open-2017-thursday	2017-01-19 14:17:00
nadal-australian-open-2017-thursday	2017-01-19 13:43:00
goffin-australian-open-2017-thursday	2017-01-19 10:35:00
istomin-australian-open-2017-thursday2	2017-01-19 09:04:00
raonic-australian-open-2017-friday	2017-01-19 05:28:00
bryans-australian-open-2017-wednesday	2017-01-18 12:43:00
murray-australian-open-2017-wednesday	2017-01-18 12:44:00
kyrgios-australian-open-2017-wednesday	2017-01-18 11:39:00
federer-australian-open-2017-wednesday	2017-01-18 06:33:00
wawrinka-australian-open-2017-wednesday	2017-01-18 05:16:00
nishikori-australian-open-2017-wednesday	2017-01-18 02:13:00
karlovic-australian-open-2017-tuesday	2017-01-17 12:30:00
djokovic-australian-open-2017-tuesday	2017-01-17 11:05:00
nadal-australian-open-2017-tuesday	2017-01-17 05:22:00
raonic-australian-open-2017-tuesday	2017-01-17 04:03:00
wawrinka-australian-open-2017-monday	2017-01-16 11:53:00
rankings_1920x1080_170116	2017-01-16 09:45:00
murray-australian-open-2017-monday	2017-01-16 07:01:00
cilic-australian-open-2017-monday	2017-01-16 06:28:00
fedex-january-2017-grand-slam-records	2017-01-16 08:47:00
nishikori-australian-open-2017-monday	2017-01-16 03:42:00
murray-australian-open-2017-preview	2017-01-14 20:01:00
muller-sydney-2017-kids-trophy	2017-01-14 12:04:00
raonic-melbourne-2017-kids	2017-01-14 08:00:00
koolhof-middelkoop-sydney-2017-saturday	2017-01-14 07:10:00
tiafoe-qualifying-australian-open-2017-saturday	2017-01-14 06:43:00
federer-australian-open-2017-preview	2017-01-14 05:43:00
djokovic-australian-open-2017-saturday-preview	2017-01-14 02:58:00
sock-auckland-2017-saturday-final-trophy	2017-01-14 04:21:00
qureshi-matkowski-auckland-2017-trophy-saturday	2017-01-14 01:21:00
rubin-australian-open-2017-friday	2017-01-13 06:16:00
muller-sydney-2017-friday	2017-01-13 07:22:00
sock-auckland-2017-friday	2017-01-13 07:01:00
murray-australian-open-2017-friday-practice	2017-01-13 00:55:00
stepanek-australian-open-2017-qualifying-thursday	2017-01-12 13:11:00
johnson-auckland-2017-thursday	2017-01-12 10:40:00
evans-sydney-2017-thursday	2017-01-12 10:01:00
federer-australian-open-2017-seeds	2017-01-12 08:59:00
indian-wells-improvements-jan-2017	2017-01-12 00:02:00
murrayqueenscommitjan2017	2017-01-11 23:12:00
troicki-auckland-2017-wednesday	2017-01-11 12:00:00
isner-auckland-2017-tuesday	2017-01-11 04:13:00
tiafoe-australian-open-2017-qualifying-tuesday	2017-01-11 03:19:00
lu-auckland-2017-tuesday	2017-01-10 11:44:00
muller-sydney-2017-tuesday	2017-01-10 09:06:00
medvedev-emirates-atp-rankings-9-january-2017	2017-01-09 13:21:00
kohlschreiber-sydney-2017-monday	2017-01-09 08:38:00
johnson-auckland-2017-monday	2017-01-09 01:21:00
chennai-2017-doubles-trophy-sunday	2017-01-08 15:39:00
sydney-2017-sunday-mahut	2017-01-08 13:42:00
khachanov-auckland-2016-scoutingreport	2017-01-09 08:35:00
bautista-agut-chennai-2017-trophy	2017-01-08 14:07:00
brisbane-2017-final-dimitrov	2017-01-08 12:55:00
thompson-kokkinakis-brisbane-title-2017	2017-01-08 09:42:00
djokovic-doha-2017-final-trophy	2017-01-07 19:17:00
chennai-2017-saturday-medvedev	2017-01-07 15:35:00
raonic-brisbane-saturday-2017	2017-01-07 07:22:00
nishikori-brisbane-saturday-2017	2017-01-07 05:23:00
thompson-kokkinakis-brisbane-doubles-saturday-2017	2017-01-07 03:59:00
murray-doha-2017-friday-sf	2017-01-06 18:42:00
chardy-martin-doha-2017-doubles-trophy	2017-01-06 17:45:00
bautista-agut-chennai-2017-friday	2017-01-06 17:17:00
djokovic-doha-2017-friday	2017-01-06 15:50:00
raonic-brisbane-2017-friday2	2017-01-06 12:20:00
wawrinka-brisbane-2017-friday2	2017-01-06 09:54:00
murray-doha-2017-thursday	2017-01-05 18:52:00
bautista-agut-chennai-2017-thursday	2017-01-05 14:05:00
nadal-brisbane-2017-thursday2	2017-01-05 13:46:00
thompson-kokkinakis-brisbane-2017-thursday	2017-01-05 08:23:00
raonic-brisbane-2017-thursday	2017-01-05 07:44:00
murray-doha-2017-wednesday	2017-01-04 18:53:00
kovalik-chennai-2017-wednesday	2017-01-04 16:07:00
djokovic-doha-2017-wednesday	2017-01-04 16:08:00
wawrinka-brisbane-2017-wednesday	2017-01-04 12:17:00
nestor-roger-vasselin-brisbane-2017-wednesday	2017-01-04 11:06:00
nishikori-brisbane-2017-wednesday	2017-01-04 09:23:00
murray-doha-2017-tuesday	2017-01-03 16:56:00
paire-chennai-2017-tuesday	2017-01-03 16:55:00
pouille-brisbane-2016-tuesday	2017-01-03 08:41:00
nadal-brisbane-2017-tuesday	2017-01-03 13:43:00
nishikori-thiem-brisbane-2017-tuesday	2017-01-03 05:51:00
chung-chennai-2017-monday	2017-01-02 17:37:00
djokovic-doha-2017-monday	2017-01-02 16:51:00
nadal-brisbane-2017-practice	2017-01-02 09:44:00
nadal-brisbane-2017-scouting-report	2017-01-02 07:22:00
ferrer-brisbane-2017-monday	2017-01-02 05:27:00
murray-djokovic-doha-2017-launch	2017-01-01 16:40:00
thompson-brisbane-2017-sunday	2017-01-01 14:58:00
doha-2017-draw-	2016-12-31 19:35:00
raonic-brisbane-2017-preview	2016-12-31 01:48:00
tecau-childrens-book-december-2016	2016-12-22 20:36:00
fedex_seasoninreview_1920x1080	2016-12-21 08:35:00
top10-ye16-1920x1080	2016-11-29 15:29:00
davis-cup-final-2016-trophy	2016-11-27 21:55:00
davis-cup-final-2016-doubles-dodig-cilic	2016-11-26 17:03:00
cilic-croatia-davis-cup-final-2016-friday	2016-11-25 16:47:00
cilic-karlovic-coric-davis-cup-final-2016	2016-11-24 14:21:00
stadium-shot-london-finale-wrap-up-2016	2016-11-22 18:03:00
ram-klaasen-feature-november-2016-2	2016-11-22 12:36:00
finale-2016-winner-takes-it-all	2016-11-20 01:11:00
finale-2016-djokovic-saturday	2016-11-19 22:10:00
london-2016-saturday-murray	2016-11-19 19:26:00
nextgen-atp-finals-coric	2016-11-22 12:48:00
ngf-zverev-1920x1080-v2	2016-11-18 20:57:00
peerskont-finale-2016-saturday1	2016-11-19 12:30:00
finale-2016-klaasen-ram-semis	2016-11-19 20:40:00
djokovic-nishikori-finale-2016-day-7-sf	2016-11-19 16:36:00
finale-2016-ram-klaasen-friday	2016-11-18 20:26:00
murray-finale-2016-friday	2016-11-18 15:55:00
yearenddoublesno1_1920x1080_v2	2016-11-18 14:07:00
murray-wawrinka-finale-2016-day-6-preview	2016-11-17 21:57:00
finale-2016-murray-soares-thursday	2016-11-17 18:52:00
djokovic-finale-2016-thurs2	2016-11-17 15:34:00
bryan-finale-2016-thurs	2016-11-17 13:00:00
lopez-finale-2016-blog	2016-11-17 01:23:00
raonic-thiem-finale-2016-day-5-preview	2016-11-16 22:12:00
finale-2016-lopez-lopez-wednesday	2016-11-16 20:25:00
kontinen-peers-finale-2016-wednesday	2016-11-16 13:28:00
djokovic-finale-2016-tuesday-2	2016-11-15 21:40:00
dodig-melo-finale-2016-tuesday2	2016-11-15 20:46:00
thiem-finale-2016-tuesday-2	2016-11-15 16:43:00
murray-soares-finale-2016-tuesday	2016-11-15 13:11:00
knoxville-2016-donaldson2	2016-11-15 02:43:00
peers-kontinen-finale-2016-monday	2016-11-14 20:05:00
kontinen-peers-finale-2016-blog	2016-11-14 19:22:00
nishikori-finale-2016-monday	2016-11-14 16:27:00
klaasenram-finale-2016-monday	2016-11-14 14:02:00
murray-cilic-finale-2016-day-2-preview	2016-11-14 02:43:00
murray-soares-finale-2016-sunday	2016-11-13 19:41:00
djokovic-finale-2016-live-report	2016-11-13 16:08:00
bryans-finale-2016-sunday1	2016-11-13 13:50:00
finale-2016-sunday-preview2	2016-11-13 16:25:00
murray-soares-finale-2016-programme	2016-11-12 19:17:00
thiem-finale-2016-preview	2016-11-12 19:38:00
finale-2016-doubles-preview	2016-11-12 19:11:00
monfils-finale-2016-preview-saturday	2016-11-12 17:26:00
finale-2016-preview-bryans	2016-11-12 17:12:00
